hidden_sizes,activation,dropout,parameters,mean_rmse,std_rmse,mean_mae,mean_nasa,pareto_final,selected
"(8, 64, 64)",elu,0.05,5169,12.656204272220506,0.17948872124390752,8.735055923461914,11270.2208984375,True,True
"(24, 48, 64)",elu,0.1,5505,12.587967658298096,0.09003999795171526,8.897300529479981,10281.1326171875,True,False
"(12, 64)",relu,0.2,1449,15.578503272373354,0.3504706598885967,11.949663352966308,10632.12734375,True,False
