stage,target_epochs,hidden_sizes,activation,dropout,rmse,mse,mae,parameters,best_epoch,status,feasible
1,100,"(8, 32)",relu,0.1,91.49552798156311,8371.431640625,81.25922393798828,689,100,cold,True
1,100,"(32,)",relu,0.2,93.86136094328167,8809.955078125,83.86029052734375,1505,100,cold,True
1,100,"(24, 32, 48)",silu,0.05,55.92316287983339,3127.400146484375,47.13384246826172,3537,100,cold,True
1,100,"(8, 24)",elu,0.1,91.55902830449054,8383.0556640625,82.04481506347656,609,100,cold,True
1,100,"(24, 32)",elu,0.1,88.91320546166779,7905.55810546875,79.56967163085938,1937,100,cold,True
1,100,"(8, 8, 8)",elu,0.05,94.39790181559917,8910.9638671875,84.92096710205078,521,100,cold,True
1,100,"(32, 12, 48)",silu,0.05,79.24822553218463,6280.28125,70.11593627929688,2541,100,cold,True
1,100,"(12, 8)",silu,0.05,95.0332332907152,9031.3154296875,85.29108428955078,665,100,cold,True
1,100,"(32, 24)",silu,0.05,87.57737928986714,7669.79736328125,78.15753936767578,2289,100,cold,True
1,100,"(64, 32)",relu,0.2,63.313097695846075,4008.54833984375,55.06294250488281,5057,100,cold,True
1,100,"(8, 24)",relu,0.05,93.42444515824003,8728.126953125,83.58203887939453,609,100,cold,True
1,100,"(12, 16, 16)",elu,0.2,89.32554630482956,7979.05322265625,79.89903259277344,1049,100,cold,True
1,100,"(8, 64, 48)",elu,0.2,43.42729337145377,1885.9298095703125,35.673500061035156,4113,100,cold,True
1,100,"(64,)",relu,0.2,90.4823095408365,8187.04833984375,80.72373962402344,3009,100,cold,True
1,100,"(12,)",relu,0.2,95.19806655074461,9062.671875,85.52759552001953,565,100,cold,True
1,100,"(4, 4)",elu,0.1,96.20055040610474,9254.5458984375,86.7249755859375,209,100,cold,True
1,100,"(48,)",silu,0.1,92.77241348119063,8606.720703125,82.76142883300781,2257,100,cold,True
1,100,"(48, 4)",relu,0.1,90.69109120215447,8224.8740234375,80.91201782226562,2409,100,cold,True
1,100,"(24, 48)",elu,0.05,83.85522773655796,7031.69921875,74.59239959716797,2353,100,cold,True
1,100,"(32, 64)",relu,0.1,71.50710874844891,5113.2666015625,62.906497955322266,3649,100,cold,True
1,100,"(48,)",relu,0.05,92.0558487923228,8474.279296875,82.2012939453125,2257,100,cold,True
1,100,"(16, 32, 24)",elu,0.0,79.94597174615804,6391.3583984375,71.27796936035156,2097,100,cold,True
1,100,"(12, 24, 32)",elu,0.2,79.84913448086805,6375.88427734375,71.14518737792969,1697,100,cold,True
1,100,"(24,)",relu,0.0,94.62372026875714,8953.6484375,84.67561340332031,1129,100,cold,True
1,100,"(12, 16)",elu,0.05,93.5813587373308,8757.470703125,84.08195495605469,777,100,cold,True
1,100,"(12, 24)",relu,0.05,92.83042756149516,8617.48828125,82.704833984375,889,100,cold,True
1,100,"(12, 24)",elu,0.1,90.33870456769208,8161.08154296875,81.3197250366211,889,100,cold,True
1,100,"(12, 48)",elu,0.1,88.45187327987323,7823.73388671875,79.22274780273438,1225,100,cold,True
1,100,"(24, 32)",silu,0.1,86.8337385152295,7540.09814453125,77.15316772460938,1937,100,cold,True
1,100,"(48, 12)",elu,0.0,87.67483091835706,7686.8759765625,78.39726257324219,2809,100,cold,True
1,100,"(48,)",elu,0.05,91.02205047061399,8285.013671875,81.88565826416016,2257,100,cold,True
1,100,"(32, 4)",silu,0.05,95.4717777752279,9114.8603515625,85.90867614746094,1609,100,cold,True
1,100,"(24,)",silu,0.2,93.9654607422323,8829.5078125,84.36461639404297,1129,100,cold,True
1,100,"(12, 32, 32)",elu,0.1,71.47452288665521,5108.607421875,62.85506057739258,2057,100,cold,True
1,100,"(8,)",relu,0.2,95.35168251989579,9091.943359375,85.69461822509766,377,100,cold,True
1,100,"(24, 48, 64)",relu,0.05,27.278355955102597,744.1087036132812,19.6699161529541,5505,100,cold,True
1,100,"(8, 32)",elu,0.0,92.67699493738994,8589.025390625,83.17992401123047,689,100,cold,True
1,100,"(48,)",relu,0.1,93.15345622278328,8677.56640625,83.23109436035156,2257,100,cold,True
1,100,"(16, 8)",silu,0.1,94.04326526757511,8844.1357421875,84.23918914794922,881,100,cold,True
1,100,"(32, 32)",elu,0.1,85.33680972329584,7282.37109375,76.14139556884766,2561,100,cold,True
1,100,"(48, 16)",silu,0.1,86.79342505519931,7533.0986328125,76.9085922241211,3009,100,cold,True
1,100,"(24, 48, 12)",elu,0.1,85.03882385416675,7231.6015625,75.5678482055664,2905,100,cold,True
1,100,"(16,)",relu,0.05,95.12044687690707,9047.8994140625,85.0912094116211,753,100,cold,True
1,100,"(4,)",elu,0.05,95.68068231753993,9154.79296875,86.04627227783203,189,100,cold,True
1,100,"(12,)",silu,0.1,95.08268400121548,9040.716796875,85.0782470703125,565,100,cold,True
2,200,"(16, 48, 32)",relu,0.2,22.51916298213625,507.1127014160156,15.995094299316406,3153,200,warm,True
