hidden_sizes,activation,dropout,parameters,mean_rmse,std_rmse,mean_mae,mean_nasa,pareto_final,selected
"(4, 12)",silu,0.0,257,12.68375269024906,0.9164066444360206,8.594953727722167,12886.2095703125,True,True
"(16, 12, 64)",elu,0.05,1837,11.599747109270817,0.1617996249556542,7.570533657073975,11086.3150390625,True,False
"(4, 4)",silu,0.2,209,23.785611781978623,1.8282775005729626,19.419282150268554,30424.469140625,True,False
