stage,particles,target_epochs,pareto_size,best_rmse,smallest_parameters,compromise_rmse,compromise_parameters,elapsed_seconds
1,100,100,14,28.35468926509886,189,42.079091035141786,3153,0.4289572238922119
2,50,200,13,14.680870345506172,189,23.876467355104587,1209,0.20990395545959473
3,25,400,12,12.746417570779323,329,19.082420271751023,1449,0.1062314510345459
4,12,700,3,12.656272304185594,1449,13.143141062258362,2521,0.05661606788635254
5,6,1000,4,12.656272304185594,1449,13.161601448362843,3649,0.02707195281982422
6,4,1500,3,12.656272304185594,1449,12.739086192368806,5169,0.016803264617919922
