stage,target_epochs,hidden_sizes,activation,dropout,rmse,mse,mae,parameters,best_epoch,status,feasible
1,100,"(16, 48, 32)",relu,0.2,42.079091035141786,1770.64990234375,32.37220764160156,3153,100,cache-exacta,True
1,100,"(48, 8, 16)",elu,0.2,82.63770467755624,6828.990234375,72.91278076171875,2761,100,cache-exacta,True
1,100,"(48, 16)",elu,0.0,73.35049367165159,5380.294921875,65.4749755859375,3009,100,cache-exacta,True
1,100,"(24, 32, 12)",silu,0.2,73.45629746127115,5395.82763671875,65.09708404541016,2313,100,cache-exacta,True
1,100,"(8, 16, 4)",relu,0.1,88.80024985888272,7885.484375,77.83687591552734,585,100,cache-exacta,True
1,100,"(64, 12)",elu,0.05,78.00526762561455,6084.82177734375,69.13574981689453,3737,100,cache-exacta,True
1,100,"(16,)",elu,0.1,88.81777781643717,7888.59765625,78.37826538085938,753,100,cache-exacta,True
1,100,"(12, 48)",elu,0.05,82.15121584994954,6748.822265625,72.7282485961914,1225,100,cache-exacta,True
1,100,"(8, 8)",silu,0.1,89.47972721254379,8006.62158203125,78.58702850341797,449,100,cache-exacta,True
1,100,"(32, 16)",relu,0.0,72.3068210280849,5228.2763671875,64.0429916381836,2017,100,cache-exacta,True
1,100,"(16, 24)",elu,0.1,78.42153722033252,6149.9375,70.27220916748047,1169,100,cache-exacta,True
1,100,"(12, 4)",relu,0.05,89.78941291641793,8062.138671875,79.6308364868164,609,100,cache-exacta,True
1,100,"(12, 4, 12)",elu,0.1,87.96766207142542,7738.3095703125,77.60322570800781,677,100,cache-exacta,True
1,100,"(32, 32)",silu,0.05,76.76331444975848,5892.6064453125,67.82633972167969,2561,100,cache-exacta,True
1,100,"(8,)",relu,0.1,89.11228597516029,7940.99951171875,78.89093780517578,377,100,cache-exacta,True
1,100,"(32,)",elu,0.1,86.39454317168273,7464.01708984375,76.44580841064453,1505,100,cache-exacta,True
1,100,"(8,)",silu,0.1,89.11608037413899,7941.67578125,78.90770721435547,377,100,cache-exacta,True
1,100,"(64, 32)",elu,0.05,55.884192476495535,3123.04296875,48.626522064208984,5057,100,cache-exacta,True
1,100,"(48,)",elu,0.1,84.16175019159535,7083.2001953125,74.81568908691406,2257,100,cache-exacta,True
1,100,"(48, 32)",relu,0.1,64.36060215205417,4142.287109375,56.92556381225586,3809,100,cache-exacta,True
1,100,"(32, 8)",relu,0.05,84.71404104397334,7176.46875,74.4618911743164,1745,100,cache-exacta,True
1,100,"(8, 8)",relu,0.2,88.59119264386557,7848.3994140625,77.93973541259766,449,100,cache-exacta,True
1,100,"(12, 24)",silu,0.05,86.3303718599008,7452.93310546875,76.53971862792969,889,100,cache-exacta,True
1,100,"(8, 16, 16)",silu,0.1,86.9817212074971,7565.81982421875,76.7702865600586,801,100,cache-exacta,True
1,100,"(12, 12)",elu,0.0,87.74499740904037,7699.1845703125,77.06425476074219,721,100,cache-exacta,True
1,100,"(48, 8, 24)",relu,0.1,77.4994644638755,6006.1669921875,68.4639663696289,2841,100,cache-exacta,True
1,100,"(32, 32)",relu,0.2,71.38861584774038,5096.33447265625,63.11569595336914,2561,100,cache-exacta,True
1,100,"(4,)",silu,0.1,89.64916972740183,8036.9736328125,78.9929428100586,189,100,cache-exacta,True
1,100,"(64, 12)",elu,0.2,79.2304016332667,6277.45654296875,70.45108032226562,3737,100,cache-exacta,True
1,100,"(4,)",elu,0.1,89.75695263808258,8056.310546875,78.92910766601562,189,100,cache-exacta,True
1,100,"(48, 24, 12)",silu,0.1,72.20748505825071,5213.9208984375,64.02571105957031,3697,100,cache-exacta,True
1,100,"(8, 32)",silu,0.05,86.90505887353451,7552.4892578125,76.22865295410156,689,100,cache-exacta,True
1,100,"(48,)",elu,0.2,83.75554144446951,7014.99072265625,74.40135192871094,2257,100,cache-exacta,True
1,100,"(12,)",elu,0.0,89.39146756070319,7990.83447265625,78.86597442626953,565,100,cache-exacta,True
1,100,"(12,)",relu,0.1,88.3608767003248,7807.64453125,78.07233428955078,565,100,cache-exacta,True
1,100,"(24, 8)",elu,0.1,85.00204501216426,7225.34765625,75.32183074951172,1313,100,cache-exacta,True
1,100,"(8,)",elu,0.05,88.92583813211996,7907.8046875,78.31440734863281,377,100,cache-exacta,True
1,100,"(64, 12)",relu,0.1,63.59895748027734,4044.827392578125,56.10098648071289,3737,100,cache-exacta,True
1,100,"(4, 8)",silu,0.05,88.87598891854874,7898.94140625,78.83463287353516,233,100,cache-exacta,True
1,100,"(48, 16, 32)",relu,0.0,55.439276940941205,3073.513427734375,47.4449577331543,3569,100,cache-exacta,True
1,100,"(48, 12, 24)",elu,0.2,74.82813315671285,5599.24951171875,65.91030883789062,3133,100,cache-exacta,True
1,100,"(16, 16)",elu,0.2,83.98935014333662,7054.2109375,74.55443572998047,1025,100,cache-exacta,True
1,100,"(12, 12)",silu,0.0,88.76586840971731,7879.37939453125,78.00247192382812,721,100,cache-exacta,True
1,100,"(24,)",elu,0.0,86.40700440448245,7466.17041015625,76.69749450683594,1129,100,cache-exacta,True
1,100,"(8, 12, 8)",relu,0.0,89.53993195252329,8017.3994140625,79.11416625976562,589,100,cache-exacta,True
1,100,"(8, 4)",elu,0.05,88.45293593205372,7823.921875,78.38911437988281,409,100,cache-exacta,True
1,100,"(24, 48)",relu,0.05,71.02918428034529,5045.14501953125,62.797271728515625,2353,100,cache-exacta,True
1,100,"(12,)",relu,0.05,88.24883531012605,7787.85693359375,77.6917953491211,565,100,cache-exacta,True
1,100,"(8, 48)",silu,0.0,86.05821351434882,7406.01611328125,75.92173767089844,849,100,cache-exacta,True
1,100,"(48, 64, 48)",silu,0.1,38.06061257379061,1448.6102294921875,28.955989837646484,8513,100,cache-exacta,True
1,100,"(8, 24, 24)",silu,0.05,84.61338431174762,7159.4248046875,74.19664001464844,1209,100,cache-exacta,True
1,100,"(24, 12)",elu,0.05,86.02428572429416,7400.177734375,75.67078399658203,1417,100,cache-exacta,True
1,100,"(12, 12)",elu,0.1,83.76024599172182,7015.77880859375,74.79412078857422,721,100,cache-exacta,True
1,100,"(64, 48)",elu,0.1,47.35209291177107,2242.220703125,37.97590255737305,6113,100,cache-exacta,True
1,100,"(32, 48, 24)",elu,0.05,46.86367832024205,2196.204345703125,38.37420654296875,4257,100,cache-exacta,True
1,100,"(8, 32)",relu,0.1,82.14193425578223,6747.29736328125,72.4818115234375,689,100,cache-exacta,True
1,100,"(32,)",relu,0.2,87.75021979584297,7700.10107421875,76.98221588134766,1505,100,cache-exacta,True
1,100,"(24, 32, 48)",silu,0.05,48.98639848292713,2399.667236328125,39.62504577636719,3537,100,cache-exacta,True
1,100,"(8, 24)",elu,0.1,84.80802942804856,7192.40185546875,75.3262710571289,609,100,cache-exacta,True
1,100,"(24, 32)",elu,0.1,81.97005157658954,6719.08935546875,72.60740661621094,1937,100,cache-exacta,True
1,100,"(8, 8, 8)",elu,0.05,88.14635711949474,7769.7802734375,78.03704071044922,521,100,cache-exacta,True
1,100,"(32, 12, 48)",silu,0.05,60.76693476989048,3692.620361328125,52.54255294799805,2541,100,cache-exacta,True
