stage,particles,target_epochs,pareto_size,best_rmse,smallest_parameters,compromise_rmse,compromise_parameters,elapsed_seconds
1,100,100,15,27.277515763187406,189,52.80260632180006,3153,96.4304587841034
2,50,200,13,16.64439052906367,189,29.642605857637584,1129,144.14023351669312
3,25,400,12,13.060605728566738,209,24.083440056622674,589,149.1456708908081
4,12,700,7,12.095257017094358,209,13.17819275941496,1189,141.76268649101257
5,6,1000,4,11.800165750664863,209,13.276113436856482,2301,59.27015686035156
6,4,1500,3,11.751598492914566,209,15.133379167887869,257,44.46782326698303
