Dataset,Variant,Architecture,Input variables,Parameters,Active arcs,Total arcs,Sparsity,Pruning alpha,Test MSE,Test RMSE,Test MAE,Test NASA,Test MSE IC95,Test RMSE IC95,Test MAE IC95,Test NASA IC95,Time_sec
FD001,pruned,"hidden=(8, 64, 64), activation=elu, dropout=0.05",45,5169,4780,5032,0.050079491255961894,0.95,234.2904815673828,15.30655028304493,11.403448104858398,433.7332458496094,"(163.65268020629884, 306.8792076110839)","(12.79267990598862, 17.517956580654744)","(9.282855463027953, 13.334759974479676)","(268.35296859741214, 642.3516159057617)",28.03
FD001,pruned,"hidden=(8, 64, 64), activation=elu, dropout=0.05",45,5169,4528,5032,0.10015898251192368,0.9,231.2218780517578,15.205981653670301,11.371147155761719,416.5281982421875,"(160.48144073486327, 301.07926483154296)","(12.668126092280001, 17.35163197810178)","(9.286021184921264, 13.321091032028196)","(263.55359268188477, 597.4389007568359)",20.78
FD001,pruned,"hidden=(8, 64, 64), activation=elu, dropout=0.05",45,5169,4025,5032,0.20011923688394273,0.8,239.32373046875,15.470091482235972,11.512072563171387,435.9662170410156,"(164.42823486328126, 312.26664886474606)","(12.822954698149594, 17.671061896029364)","(9.37070701122284, 13.535242676734923)","(279.1736640930176, 623.6021240234373)",22.41
FD001,pruned,"hidden=(8, 64, 64), activation=elu, dropout=0.05",45,5169,3522,5032,0.3000794912559619,0.7,241.36514282226562,15.535930703445661,11.539246559143066,440.754150390625,"(166.97280921936036, 313.61396789550776)","(12.921786126510842, 17.709137889040765)","(9.38617148399353, 13.541404628753662)","(281.96839141845703, 632.1258758544922)",37.59
FD001,pruned,"hidden=(8, 64, 64), activation=elu, dropout=0.05",45,5169,3019,5032,0.40003974562798095,0.6,236.96728515625,15.393741752941356,11.488473892211914,426.0550842285156,"(164.28412895202638, 308.4180854797363)","(12.817317123774421, 17.56183571361391)","(9.31532883644104, 13.441437840461731)","(271.8556022644043, 596.7361572265625)",60.07
FD001,pruned,"hidden=(8, 64, 64), activation=elu, dropout=0.05",45,5169,2516,5032,0.5,0.5,247.52735900878906,15.733002224902565,11.740059852600098,450.41204833984375,"(166.7732578277588, 322.9735481262207)","(12.913916947740558, 17.971451225971226)","(9.537339854240418, 13.867907667160033)","(284.40044021606445, 635.735708618164)",45.92
