hidden_sizes,activation,dropout,parameters,seed,rmse,mse,mae,nasa_score,best_epoch,elapsed_seconds
"(24, 48, 64)",elu,0.1,5505,11,12.50645829255579,156.4114990234375,8.829773902893066,9878.8349609375,1025,120.71930480003357
"(24, 48, 64)",elu,0.1,5505,22,12.635107847477315,159.6459503173828,9.046467781066895,10119.248046875,1050,119.83483600616455
"(24, 48, 64)",elu,0.1,5505,33,12.720860711493186,161.82029724121094,9.067432403564453,10229.6171875,1025,120.20761179924011
"(24, 48, 64)",elu,0.1,5505,44,12.561605393169733,157.79393005371094,8.768364906311035,10581.400390625,1550,151.9958837032318
"(24, 48, 64)",elu,0.1,5505,55,12.515806046794452,156.64540100097656,8.774463653564453,10596.5625,1600,153.31324172019958
"(12, 64)",relu,0.2,1449,11,15.77822429998214,248.95236206054688,12.210223197937012,10785.1875,900,59.67269158363342
"(12, 64)",relu,0.2,1449,22,15.545411559577335,241.65982055664062,11.75907039642334,10690.423828125,825,56.18881177902222
"(12, 64)",relu,0.2,1449,33,16.035073937821622,257.12359619140625,12.479911804199219,11127.5634765625,950,58.3595712184906
"(12, 64)",relu,0.2,1449,44,15.42132041730169,237.81712341308594,11.808716773986816,10490.16796875,875,56.41233205795288
"(12, 64)",relu,0.2,1449,55,15.112486147183994,228.38723754882812,11.490394592285156,10067.2939453125,900,58.57852387428284
"(8, 64, 64)",elu,0.05,5169,11,12.694695297496867,161.15528869628906,8.594856262207031,11908.861328125,1975,183.9245183467865
"(8, 64, 64)",elu,0.05,5169,22,12.945359648375215,167.58233642578125,9.377931594848633,10201.21875,900,110.44527006149292
"(8, 64, 64)",elu,0.05,5169,33,12.533857954151378,157.09759521484375,8.606879234313965,11248.1201171875,2250,204.08211851119995
"(8, 64, 64)",elu,0.05,5169,44,12.491386192248891,156.03472900390625,8.534823417663574,11222.0009765625,2150,197.9322738647461
"(8, 64, 64)",elu,0.05,5169,55,12.615722268830185,159.1564483642578,8.560789108276367,11770.9033203125,2000,184.85375094413757
