Dataset,Best Hidden Layers,Validation MSE,Validation MAE
FD001,"(57, 96)",188.02992248535156,10.222146034240723
FD002,"(43, 68)",489.0749816894531,17.307308197021484
FD003,"(53, 92)",143.03807067871094,8.204130172729492
FD004,"(10, 17)",453.7564392089844,15.738913536071777
