rank,architecture,epoch,train_loss,val_mse
1,"relu:[94, 99]",1,571.329771973771,589.2308959960938
1,"relu:[94, 99]",2,516.3330047468072,537.9722900390625
1,"relu:[94, 99]",3,481.705122716895,500.592529296875
1,"relu:[94, 99]",4,450.2361680122271,479.01300048828125
1,"relu:[94, 99]",5,422.8447758922838,454.8028259277344
1,"relu:[94, 99]",6,401.6629662361319,422.4637756347656
1,"relu:[94, 99]",7,385.43334445343714,436.63775634765625
1,"relu:[94, 99]",8,361.75368844646295,393.50823974609375
1,"relu:[94, 99]",9,344.74113889371966,397.4073791503906
1,"relu:[94, 99]",10,331.1762011105611,396.4822692871094
1,"relu:[94, 99]",11,319.1422643095391,371.3671875
1,"relu:[94, 99]",12,306.46573600594854,353.7315673828125
1,"relu:[94, 99]",13,296.18481431377535,341.7724609375
1,"relu:[94, 99]",14,288.74142971648473,364.3012390136719
1,"relu:[94, 99]",15,275.6081774289205,324.3592224121094
1,"relu:[94, 99]",16,266.85996152276863,335.81585693359375
1,"relu:[94, 99]",17,257.7619373199602,334.54931640625
1,"relu:[94, 99]",18,249.78428092503657,320.1747741699219
1,"relu:[94, 99]",19,245.76888550362085,333.9073791503906
1,"relu:[94, 99]",20,241.55933035236515,302.78814697265625
1,"relu:[94, 99]",21,232.52348724783283,295.4358215332031
1,"relu:[94, 99]",22,229.88311788480576,322.2431335449219
1,"relu:[94, 99]",23,224.6805148190015,289.2994689941406
1,"relu:[94, 99]",24,217.46845478772028,287.728759765625
1,"relu:[94, 99]",25,213.3739388522492,298.2649841308594
1,"relu:[94, 99]",26,209.20570387470124,283.3292541503906
1,"relu:[94, 99]",27,206.97855819632474,285.1285705566406
1,"relu:[94, 99]",28,202.2575607648179,296.4034118652344
1,"relu:[94, 99]",29,199.8048879545029,276.2705383300781
1,"relu:[94, 99]",30,197.32832559385255,292.41375732421875
1,"relu:[94, 99]",31,197.69758090363246,265.8548278808594
1,"relu:[94, 99]",32,193.34051395224654,274.8945007324219
1,"relu:[94, 99]",33,190.85370653405036,270.76849365234375
1,"relu:[94, 99]",34,187.2336037692414,297.6543884277344
1,"relu:[94, 99]",35,185.34514433281606,263.2301330566406
