rank,architecture,prepruning_validation_mse,prepruning_validation_mae,validation_mse,validation_mae,selection_score,reference_train_time_sec,pruning_solve_time_sec,tuning_time_sec,total_candidate_time_sec,num_parameters,nonzero_parameters,density,pruning_method,active_total_arcs,keep_ratio,best_learning_rate,best_batch_size,best_weight_decay
1,"relu:[94, 99]",636.5941772460938,20.557025909423828,249.01962280273438,12.177488327026367,251.01922280273436,0.7648726999759674,0.0,13.70317090000026,14.468043599976227,37799,18996,0.5025529775919998,magnitude_multilayer,18802,0.49998670389575856,0.001,128,0.0
2,"relu:[98, 99]",701.205322265625,21.69410514831543,257.38702392578125,12.333349227905273,259.4668239257812,0.8025665000313893,0.0,12.197197600034997,12.999764100066386,39399,19798,0.5025000634533872,magnitude_multilayer,19600,0.49998724522333615,0.001,128,0.0
3,"relu:[96, 97]",728.6600341796875,22.277620315551758,269.98480224609375,12.7400541305542,272.0146022460938,0.7272676000138745,0.0,9.181415400002152,9.908683000016026,38403,19298,0.5025128245189178,magnitude_multilayer,19104,0.4999869140778351,0.0005,128,0.0
