rank,architecture,epoch,train_loss,val_mse
1,"relu:[96, 95]",1,5121.77056609123,4588.20556640625
1,"relu:[96, 95]",2,4306.981591271841,3776.781494140625
1,"relu:[96, 95]",3,3224.852700510333,2652.19921875
1,"relu:[96, 95]",4,2084.6905493951613,1807.765625
1,"relu:[96, 95]",5,1618.0417247703854,1633.1519775390625
1,"relu:[96, 95]",6,1551.2940434937836,1610.0565185546875
1,"relu:[96, 95]",7,1534.5935966026825,1601.7242431640625
1,"relu:[96, 95]",8,1521.8188344429043,1601.1663818359375
1,"relu:[96, 95]",9,1511.5090159645217,1608.279541015625
1,"relu:[96, 95]",10,1503.3525093981016,1589.2987060546875
1,"relu:[96, 95]",11,1494.722170418907,1590.553466796875
1,"relu:[96, 95]",12,1486.2310322860662,1594.145263671875
1,"relu:[96, 95]",13,1477.4453572153618,1599.2379150390625
1,"relu:[96, 95]",14,1470.7165753983254,1584.864013671875
1,"relu:[96, 95]",15,1463.2803764315915,1590.5150146484375
1,"relu:[96, 95]",16,1455.0832110880096,1589.823974609375
1,"relu:[96, 95]",17,1448.2883485418067,1577.9183349609375
1,"relu:[96, 95]",18,1441.6728098223286,1574.8502197265625
1,"relu:[96, 95]",19,1434.9047154142866,1580.1700439453125
1,"relu:[96, 95]",20,1426.813157954609,1575.5469970703125
1,"relu:[96, 95]",21,1420.5110595703125,1579.4454345703125
1,"relu:[96, 95]",22,1414.5305211658547,1572.5855712890625
1,"relu:[96, 95]",23,1404.3295478410619,1572.33642578125
1,"relu:[96, 95]",24,1397.1913867362512,1567.236083984375
1,"relu:[96, 95]",25,1390.6745928364414,1576.2894287109375
1,"relu:[96, 95]",26,1383.2829244196628,1582.2786865234375
1,"relu:[96, 95]",27,1375.8844758939572,1549.4473876953125
1,"relu:[96, 95]",28,1366.1739678714437,1557.9932861328125
1,"relu:[96, 95]",29,1359.3730399620576,1540.7637939453125
1,"relu:[96, 95]",30,1348.4683604250672,1543.76708984375
1,"relu:[96, 95]",31,1340.1547927692372,1532.12255859375
1,"relu:[96, 95]",32,1330.5343394727263,1532.9808349609375
1,"relu:[96, 95]",33,1320.5264847075214,1538.9361572265625
1,"relu:[96, 95]",34,1311.9469446982107,1543.6746826171875
1,"relu:[96, 95]",35,1302.780370218694,1528.0120849609375
1,"relu:[96, 95]",36,1292.4229972593246,1523.094970703125
1,"relu:[96, 95]",37,1281.9737060546875,1558.5765380859375
1,"relu:[96, 95]",38,1274.5898753395218,1526.0667724609375
1,"relu:[96, 95]",39,1261.98943562388,1507.36669921875
1,"relu:[96, 95]",40,1253.1710298709118,1522.8917236328125
1,"relu:[96, 95]",41,1244.020015330981,1518.1240234375
1,"relu:[96, 95]",42,1233.438199344758,1500.588623046875
1,"relu:[96, 95]",43,1224.423773609011,1489.610595703125
1,"relu:[96, 95]",44,1213.406368220066,1505.789306640625
1,"relu:[96, 95]",45,1202.2765522618447,1511.6568603515625
1,"relu:[96, 95]",46,1193.9130076637405,1493.3533935546875
1,"relu:[96, 95]",47,1184.1834030752968,1485.51611328125
1,"relu:[96, 95]",48,1174.4473911517837,1482.7509765625
1,"relu:[96, 95]",49,1162.8680744567653,1466.3984375
1,"relu:[96, 95]",50,1150.395365047113,1479.905517578125
1,"relu:[96, 95]",51,1146.8578656158995,1479.6583251953125
1,"relu:[96, 95]",52,1134.5881098265288,1499.816162109375
1,"relu:[96, 95]",53,1124.5298412910927,1462.516845703125
1,"relu:[96, 95]",54,1114.0436305986084,1449.6573486328125
1,"relu:[96, 95]",55,1103.7269189978158,1455.5736083984375
1,"relu:[96, 95]",56,1097.2318941287242,1453.60595703125
1,"relu:[96, 95]",57,1084.4226086469534,1435.518798828125
1,"relu:[96, 95]",58,1072.4103490248376,1439.870361328125
1,"relu:[96, 95]",59,1065.4800138521366,1442.8092041015625
1,"relu:[96, 95]",60,1056.6354046783995,1417.5634765625
1,"relu:[96, 95]",61,1045.4150972537243,1414.0662841796875
1,"relu:[96, 95]",62,1036.9832266640065,1434.834716796875
1,"relu:[96, 95]",63,1026.038513096088,1436.0013427734375
1,"relu:[96, 95]",64,1017.7840453664035,1406.0096435546875
1,"relu:[96, 95]",65,1008.4792727234543,1384.1466064453125
1,"relu:[96, 95]",66,999.1393582251765,1381.7781982421875
1,"relu:[96, 95]",67,987.922785014491,1405.96728515625
1,"relu:[96, 95]",68,981.6671775681143,1386.4696044921875
1,"relu:[96, 95]",69,968.9160379826809,1402.6182861328125
1,"relu:[96, 95]",70,961.3568640705505,1365.0469970703125
1,"relu:[96, 95]",71,954.2580017746136,1357.7890625
1,"relu:[96, 95]",72,947.9367851229979,1377.78466796875
1,"relu:[96, 95]",73,939.0552838944193,1360.55810546875
1,"relu:[96, 95]",74,926.3261806693129,1341.366455078125
1,"relu:[96, 95]",75,923.7951667156698,1337.147705078125
1,"relu:[96, 95]",76,913.9900102731575,1334.986083984375
1,"relu:[96, 95]",77,908.8182450489331,1335.33251953125
1,"relu:[96, 95]",78,902.7658811726451,1339.85693359375
1,"relu:[96, 95]",79,887.2037622157818,1324.523681640625
1,"relu:[96, 95]",80,887.4741344383541,1343.2530517578125
1,"relu:[96, 95]",81,879.7929085023942,1285.565673828125
1,"relu:[96, 95]",82,871.1799694211679,1299.42822265625
1,"relu:[96, 95]",83,865.8339264900453,1289.3946533203125
1,"relu:[96, 95]",84,858.9899426313284,1301.920654296875
1,"relu:[96, 95]",85,854.3339651237679,1309.3304443359375
1,"relu:[96, 95]",86,846.292183781012,1267.2254638671875
1,"relu:[96, 95]",87,838.8791866179436,1267.0789794921875
1,"relu:[96, 95]",88,831.3016906081989,1251.1707763671875
1,"relu:[96, 95]",89,826.1805557743196,1262.4560546875
1,"relu:[96, 95]",90,822.0241889324667,1236.901123046875
1,"relu:[96, 95]",91,814.9032914356519,1237.0806884765625
1,"relu:[96, 95]",92,809.3616288379957,1265.9122314453125
1,"relu:[96, 95]",93,802.9064344180528,1228.10205078125
1,"relu:[96, 95]",94,797.119201922673,1236.5595703125
1,"relu:[96, 95]",95,788.8732076665407,1235.3387451171875
1,"relu:[96, 95]",96,785.2184989901854,1229.581787109375
1,"relu:[96, 95]",97,784.3504578730539,1218.54736328125
1,"relu:[96, 95]",98,776.380706218323,1240.063720703125
1,"relu:[96, 95]",99,770.875035045993,1206.6131591796875
1,"relu:[96, 95]",100,765.4568036916862,1198.7646484375
1,"relu:[96, 95]",101,765.0863353004593,1213.0791015625
1,"relu:[96, 95]",102,755.0514094964577,1190.7406005859375
1,"relu:[96, 95]",103,748.8724361296623,1195.455322265625
1,"relu:[96, 95]",104,745.6703333700857,1178.973388671875
1,"relu:[96, 95]",105,741.8280208245827,1185.0208740234375
1,"relu:[96, 95]",106,736.3525172298528,1188.33544921875
1,"relu:[96, 95]",107,733.629319407692,1165.41064453125
1,"relu:[96, 95]",108,729.3010664745044,1151.51806640625
1,"relu:[96, 95]",109,724.3460526661206,1160.3997802734375
1,"relu:[96, 95]",110,720.7890985523073,1174.01123046875
1,"relu:[96, 95]",111,716.6520965029262,1143.8814697265625
1,"relu:[96, 95]",112,712.09256937444,1150.908447265625
1,"relu:[96, 95]",113,707.5979153540827,1142.72607421875
1,"relu:[96, 95]",114,706.8082549283154,1148.059326171875
1,"relu:[96, 95]",115,700.1770709294145,1151.098388671875
1,"relu:[96, 95]",116,697.3231899904093,1142.814453125
1,"relu:[96, 95]",117,692.9500531596523,1165.1995849609375
