rank,architecture,prepruning_validation_mse,prepruning_validation_mae,validation_mse,validation_mae,selection_score,reference_train_time_sec,pruning_solve_time_sec,tuning_time_sec,total_candidate_time_sec,num_parameters,nonzero_parameters,density,pruning_method,solve_strategy,active_total_arcs,keep_ratio,fixed_keep_arcs,fixed_drop_arcs,free_binary_arcs,best_learning_rate,best_batch_size,best_weight_decay
1,"relu:[100, 23]",963.84130859375,26.04096031188965,787.7970581054688,22.885541915893555,788.3226581054688,4.0333894999930635,30.915201999945566,469.32253040000796,504.2711218999466,41447,4256,0.10268535720317513,magnitude_solver_fallback_after_reduced_exact,reduced_neighborhood_exact,4132,0.099992740120514,2711,34612,4000,0.001,128,0.0
2,"relu:[100, 17]",873.455078125,24.53261947631836,793.2514038085938,23.04568862915039,793.7704038085938,5.117630799999461,46.14667410007678,563.471747100004,614.7360520000802,40835,4190,0.10260805681400759,magnitude_solver_fallback_after_reduced_exact,reduced_neighborhood_exact,4072,0.1000073679298573,2658,34059,4000,0.001,128,0.0
3,"relu:[100, 18]",1063.986083984375,27.73951530456543,823.0509033203125,23.321739196777344,823.5710033203125,4.206403599935584,30.623369300039485,448.53038260003086,483.36015550000593,40937,4201,0.10262110071573394,magnitude_solver_fallback_after_reduced_exact,reduced_neighborhood_exact,4082,0.10000489979910823,2675,34143,4000,0.001,128,0.0
