rank,architecture,prepruning_validation_mse,prepruning_validation_mae,validation_mse,validation_mae,selection_score,reference_train_time_sec,pruning_solve_time_sec,tuning_time_sec,total_candidate_time_sec,num_parameters,nonzero_parameters,density,pruning_method,solve_strategy,active_total_arcs,keep_ratio,fixed_keep_arcs,fixed_drop_arcs,free_binary_arcs,best_learning_rate,best_batch_size,best_weight_decay
1,"relu:[100, 17]",654.86474609375,20.62137222290039,642.36083984375,20.68712615966797,642.87983984375,4.679734400007874,30.639012400060892,504.15341660007834,539.4721634001471,40835,4190,0.10260805681400759,magnitude_solver_fallback_after_reduced_exact,reduced_neighborhood_exact,4072,0.1000073679298573,2605,34112,4000,0.001,128,0.0001
2,"relu:[100, 18]",803.4325561523438,23.683256149291992,693.2108764648438,21.574682235717773,693.7309764648437,4.58103260002099,30.68492879997939,511.66266500006896,546.9286264000693,40937,4201,0.10262110071573394,magnitude_solver_fallback_after_reduced_exact,reduced_neighborhood_exact,4082,0.10000489979910823,2670,34148,4000,0.001,128,0.0
3,"relu:[100, 22]",744.2379760742188,23.03671646118164,695.7361450195312,21.63823127746582,696.2606450195312,4.457975800032727,31.16778020001948,529.5342897999799,565.1600458000321,41345,4245,0.10267263272463417,magnitude_solver_fallback_after_reduced_exact,reduced_neighborhood_exact,4122,0.0999951482218233,2675,34547,4000,0.001,128,0.0001
