rank,architecture,epoch,train_loss,val_mse
1,"relu:[96, 97]",1,3795.660205066557,3938.59326171875
1,"relu:[96, 97]",2,2849.2650237003227,3250.39892578125
1,"relu:[96, 97]",3,2286.1768844810545,2572.56884765625
1,"relu:[96, 97]",4,1760.9616701821528,1801.773681640625
1,"relu:[96, 97]",5,1283.512068679112,1208.6783447265625
1,"relu:[96, 97]",6,987.457612103406,901.0114135742188
1,"relu:[96, 97]",7,843.2219827810584,776.8906860351562
1,"relu:[96, 97]",8,769.3397462614846,713.2293090820312
1,"relu:[96, 97]",9,720.703393375385,671.5701293945312
1,"relu:[96, 97]",10,683.197697209058,643.2431640625
1,"relu:[96, 97]",11,652.5956399931611,617.8350830078125
1,"relu:[96, 97]",12,626.2640951590864,596.6800537109375
1,"relu:[96, 97]",13,602.9279652125348,576.500732421875
1,"relu:[96, 97]",14,581.2804470428272,557.1177368164062
1,"relu:[96, 97]",15,560.3440758967903,540.4002685546875
1,"relu:[96, 97]",16,540.5751863256842,520.3078002929688
1,"relu:[96, 97]",17,521.1486543403703,503.1719665527344
1,"relu:[96, 97]",18,503.1769926120421,485.7958068847656
1,"relu:[96, 97]",19,484.54563827532724,471.20220947265625
1,"relu:[96, 97]",20,466.03661130441077,451.13140869140625
1,"relu:[96, 97]",21,448.95551387350355,437.8001708984375
1,"relu:[96, 97]",22,431.55180646276847,419.1239013671875
1,"relu:[96, 97]",23,416.3234583265661,405.1168212890625
1,"relu:[96, 97]",24,401.39134776990466,394.3660888671875
1,"relu:[96, 97]",25,386.8264464392139,379.9111022949219
1,"relu:[96, 97]",26,374.2511802805286,367.7560119628906
1,"relu:[96, 97]",27,362.5131681216777,357.8933410644531
1,"relu:[96, 97]",28,351.6936878094993,351.8184814453125
1,"relu:[96, 97]",29,342.30411874951415,344.0517883300781
1,"relu:[96, 97]",30,334.36157901115934,336.4223937988281
1,"relu:[96, 97]",31,327.1993472404995,331.2676086425781
1,"relu:[96, 97]",32,320.55506774786664,325.97796630859375
1,"relu:[96, 97]",33,314.5887619123389,321.92047119140625
