rank,architecture,prepruning_validation_mse,prepruning_validation_mae,validation_mse,validation_mae,selection_score,reference_train_time_sec,pruning_solve_time_sec,tuning_time_sec,total_candidate_time_sec,num_parameters,nonzero_parameters,density,pruning_method,solve_strategy,active_total_arcs,keep_ratio,fixed_keep_arcs,fixed_drop_arcs,free_binary_arcs,best_learning_rate,best_batch_size,best_weight_decay
1,"relu:[98, 87]",464.4343566894531,17.149757385253906,256.7617492675781,12.142019271850586,257.2604492675781,4.177355399937369,32.060051499982364,234.45650979992934,270.69391669984907,38199,3987,0.10437446006439959,magnitude_solver_fallback_after_reduced_exact,reduced_neighborhood_exact,3801,0.09999210796306526,2458,31754,3801,0.001,128,0.0001
2,"relu:[99, 86]",513.0919799804688,17.969240188598633,308.8597412109375,13.638447761535645,309.3613412109375,2.0301638999953866,32.036264099995606,230.2964365000371,264.3628645000281,38486,4016,0.1043496336330094,magnitude_solver_fallback_after_reduced_exact,reduced_neighborhood_exact,3830,0.1,2459,32011,3830,0.001,128,1e-05
3,"relu:[99, 83]",600.2284545898438,19.637598037719727,309.5466003417969,13.565658569335938,310.04490034179685,1.9268268999876454,31.93137420003768,235.8133811999578,269.67158229998313,38183,3983,0.10431343791739779,magnitude_solver_fallback_after_reduced_exact,reduced_neighborhood_exact,3800,0.1,2517,31683,3800,0.001,128,0.0001
