rank,architecture,epoch,train_loss,val_mse
1,"relu:[95, 100]",1,965.3520603048631,1155.5955810546875
1,"relu:[95, 100]",2,896.7676825346122,1129.0504150390625
1,"relu:[95, 100]",3,878.1278031354872,1119.9287109375
1,"relu:[95, 100]",4,864.3975019450579,1113.959716796875
1,"relu:[95, 100]",5,851.8606188399029,1099.312255859375
1,"relu:[95, 100]",6,839.9272495670677,1096.5782470703125
1,"relu:[95, 100]",7,827.1694915197266,1089.1678466796875
1,"relu:[95, 100]",8,819.4308694784331,1082.4678955078125
1,"relu:[95, 100]",9,807.5779068812475,1069.4532470703125
1,"relu:[95, 100]",10,795.544081206057,1061.006103515625
1,"relu:[95, 100]",11,783.7971726829385,1052.076416015625
1,"relu:[95, 100]",12,775.378125089634,1042.8519287109375
1,"relu:[95, 100]",13,767.2627790642748,1038.32275390625
1,"relu:[95, 100]",14,757.3690109778129,1031.9822998046875
1,"relu:[95, 100]",15,747.1720456407397,1021.361083984375
1,"relu:[95, 100]",16,737.9530510519447,1015.6957397460938
1,"relu:[95, 100]",17,728.2392056847232,1008.0792846679688
1,"relu:[95, 100]",18,719.2551009592631,1002.0384521484375
1,"relu:[95, 100]",19,710.4840946976556,994.2236938476562
1,"relu:[95, 100]",20,702.0377421910854,990.5184326171875
1,"relu:[95, 100]",21,692.3497071320883,982.337646484375
1,"relu:[95, 100]",22,685.3627954897064,974.269775390625
1,"relu:[95, 100]",23,678.2386374891543,965.3316650390625
1,"relu:[95, 100]",24,671.5474617386039,957.7613525390625
1,"relu:[95, 100]",25,662.3495972744091,956.2588500976562
1,"relu:[95, 100]",26,654.5904085142671,952.3336791992188
1,"relu:[95, 100]",27,646.429557320611,944.0164184570312
1,"relu:[95, 100]",28,639.5521815012441,936.4404907226562
1,"relu:[95, 100]",29,632.4753643454297,934.6416015625
1,"relu:[95, 100]",30,624.2263283871795,928.67578125
1,"relu:[95, 100]",31,617.1474287252789,925.1011962890625
1,"relu:[95, 100]",32,612.9493758335963,920.6155395507812
1,"relu:[95, 100]",33,605.7407335803946,910.9169311523438
1,"relu:[95, 100]",34,598.028396081246,906.6591186523438
1,"relu:[95, 100]",35,592.9986459382798,899.0730590820312
1,"relu:[95, 100]",36,586.8642127644091,895.8362426757812
1,"relu:[95, 100]",37,580.3764342701506,890.960205078125
1,"relu:[95, 100]",38,572.9652815000788,888.0411987304688
1,"relu:[95, 100]",39,570.3763838230113,883.3607788085938
1,"relu:[95, 100]",40,561.8397275339086,879.3399047851562
1,"relu:[95, 100]",41,557.2058367088006,877.524169921875
1,"relu:[95, 100]",42,551.7221842429243,872.6469116210938
1,"relu:[95, 100]",43,545.6027124062653,871.6604614257812
1,"relu:[95, 100]",44,540.4811890292682,866.4212036132812
1,"relu:[95, 100]",45,535.5052447378116,861.7486572265625
1,"relu:[95, 100]",46,531.5611829683287,854.996826171875
1,"relu:[95, 100]",47,526.4025410148407,858.4868774414062
1,"relu:[95, 100]",48,521.4115118523047,852.31103515625
1,"relu:[95, 100]",49,515.4169262784947,848.1947631835938
1,"relu:[95, 100]",50,511.8641001686912,845.8729248046875
1,"relu:[95, 100]",51,507.96880502687674,841.3385620117188
1,"relu:[95, 100]",52,503.46975647084696,840.298828125
1,"relu:[95, 100]",53,496.9484710413253,831.6103515625
1,"relu:[95, 100]",54,492.8667851133377,831.1201171875
1,"relu:[95, 100]",55,488.41630038103415,842.5640869140625
1,"relu:[95, 100]",56,487.10099958443436,826.1097412109375
1,"relu:[95, 100]",57,483.8743465961038,825.1515502929688
1,"relu:[95, 100]",58,478.7732975589075,830.79345703125
1,"relu:[95, 100]",59,474.4351133265152,824.7205200195312
1,"relu:[95, 100]",60,470.39712943172935,818.0330200195312
1,"relu:[95, 100]",61,466.7736432100447,820.6795654296875
1,"relu:[95, 100]",62,464.50859535500894,826.368896484375
1,"relu:[95, 100]",63,460.4129324252587,818.8026733398438
1,"relu:[95, 100]",64,456.67687621342037,813.2078247070312
1,"relu:[95, 100]",65,454.8140134001719,815.5172119140625
1,"relu:[95, 100]",66,448.32512223277416,812.8988647460938
1,"relu:[95, 100]",67,445.0333600405325,816.4548950195312
1,"relu:[95, 100]",68,439.94727873397346,809.0755004882812
1,"relu:[95, 100]",69,437.7987514879245,807.8579711914062
1,"relu:[95, 100]",70,439.1206201043026,806.7791137695312
1,"relu:[95, 100]",71,432.9545600054296,811.4025268554688
1,"relu:[95, 100]",72,428.19981740712575,805.7976684570312
1,"relu:[95, 100]",73,426.3290468997614,809.0496826171875
1,"relu:[95, 100]",74,421.34771935794265,804.5281372070312
1,"relu:[95, 100]",75,419.1627053291002,805.1105346679688
1,"relu:[95, 100]",76,416.7286764900309,801.3447875976562
1,"relu:[95, 100]",77,415.58536473869896,800.1642456054688
1,"relu:[95, 100]",78,409.0935716283272,803.5706176757812
1,"relu:[95, 100]",79,406.0683876027094,797.8192138671875
1,"relu:[95, 100]",80,402.46999958208147,795.3147583007812
1,"relu:[95, 100]",81,400.0940853152159,800.2998046875
1,"relu:[95, 100]",82,398.2034565757972,794.5148315429688
1,"relu:[95, 100]",83,393.77154373652127,803.2393188476562
1,"relu:[95, 100]",84,390.28964596836323,798.58642578125
1,"relu:[95, 100]",85,386.9915165754566,802.6852416992188
1,"relu:[95, 100]",86,384.7139031111291,796.8982543945312
1,"relu:[95, 100]",87,382.3577067325727,802.5601196289062
1,"relu:[95, 100]",88,377.5401064420633,800.3297119140625
1,"relu:[95, 100]",89,375.7329066409163,797.3115234375
1,"relu:[95, 100]",90,375.01396048249535,797.2026977539062
2,"relu:[91, 100]",1,961.5801145108045,1184.376220703125
2,"relu:[91, 100]",2,892.9415511489735,1152.4417724609375
2,"relu:[91, 100]",3,877.9624286947474,1141.8052978515625
2,"relu:[91, 100]",4,862.470787380966,1130.072509765625
